target_variable,country,country_name,n_samples,n_features,n_classes,majority_baseline,cv_accuracy_mean,cv_accuracy_std,low_n_warning
Q47,276,Germany,1525,288,5,0.462,0.477,0.02,False
Q47,566,Nigeria,1235,290,5,0.438,0.587,0.011,False
Q47,392,Japan,1341,288,5,0.377,0.441,0.016,False
Q47,76,Brazil,1757,290,5,0.453,0.496,0.008,False
Q47,818,Egypt,1200,256,5,0.503,0.598,0.031,False
Q57,276,Germany,1482,288,2,0.54,0.748,0.015,False
Q57,566,Nigeria,1230,290,2,0.873,0.889,0.025,False
Q57,392,Japan,1281,288,2,0.644,0.715,0.022,False
Q57,76,Brazil,1730,290,2,0.934,0.936,0.005,False
Q57,818,Egypt,1197,256,2,0.926,0.921,0.017,False
Q199,276,Germany,1528,288,4,0.459,0.607,0.044,False
Q199,566,Nigeria,1233,290,4,0.304,0.567,0.035,False
Q199,392,Japan,1321,288,4,0.512,0.64,0.044,False
Q199,76,Brazil,1734,290,4,0.396,0.562,0.031,False
Q199,818,Egypt,1195,256,4,0.391,0.696,0.015,False
Q235,276,Germany,1443,288,4,0.527,0.57,0.009,False
Q235,566,Nigeria,1222,290,4,0.302,0.575,0.023,False
Q235,392,Japan,1141,288,4,0.369,0.452,0.018,False
Q235,76,Brazil,1512,290,4,0.416,0.483,0.02,False
Q235,818,Egypt,935,256,4,0.366,0.684,0.016,False
Q164,276,Germany,1508,288,10,0.268,0.477,0.023,False
Q164,566,Nigeria,1237,290,10,0.863,0.877,0.004,False
Q164,392,Japan,1246,288,10,0.177,0.307,0.036,False
Q164,76,Brazil,1745,290,10,0.8,0.829,0.017,False
Q164,818,Egypt,1189,256,2,0.976,0.974,0.011,False
