target_variable,country,feature_variable,importance_mean,importance_std
Q47,276,Q260,0.0008524590163934552,0.003249707985144625
Q47,276,Q262,0.014098360655737718,0.013464197002188184
Q47,276,Q263,-0.001508196721311469,0.0014306507691325468
Q47,276,Q264,-0.0013114754098360515,0.0015927813510152459
Q47,276,Q265,0.00039344262295082713,0.0031747458195174345
Q47,276,Q266,4.4322184811207424e-18,0.0004147249390384743
Q47,276,Q267,0.0003934426229508325,0.004563859053457133
Q47,276,Q268,-0.0010491803278688363,0.002853777724195287
Q47,276,Q269,-0.00032786885245901455,0.0006557377049180291
Q47,276,Q270,-0.0034098360655737585,0.004045428672835986
Q47,276,Q271,-0.00026229508196721086,0.0020569688054240223
Q47,276,Q272,-0.0013114754098360636,0.0026229508196721272
Q47,276,Q273,-0.0009836065573770357,0.0036861558878833276
Q47,276,Q274,-0.0024918032786885092,0.004983606557377052
Q47,276,Q275,2.1163626406917045e-17,0.005754075008125991
Q47,276,Q276,-0.0015737704918032647,0.005634767490869727
Q47,276,Q277,0.0003278688524590301,0.004509835767619524
Q47,276,Q278,0.0035409836065573965,0.005623309265447432
Q47,276,Q279,-0.0038688524590163795,0.004376281629760943
Q47,276,Q280,-0.0020327868852458887,0.005089470927719933
Q47,276,Q281,-0.0033442622950819513,0.0026989004101320192
Q47,276,Q282,-0.002295081967213099,0.010164992012666612
Q47,276,Q283,0.0007213114754098538,0.0065488469108177915
Q47,276,Q284,-0.00045901639344260827,0.0047630215861862064
Q47,276,Q285,-0.001508196721311461,0.0019954261055348103
Q47,276,Q286,0.0003278688524590342,0.007733813970304543
Q47,276,Q287,-0.004393442622950805,0.004282926109588964
Q47,276,Q288,-0.0020327868852458826,0.005792803364028278
Q47,276,Q289CS9,-0.0031475409836065416,0.008968516703280863
Q47,276,Q1,-0.0013114754098360558,0.0014808642348375252
Q47,276,Q2,-0.0036721311475409676,0.006301226509395539
Q47,276,Q3,-0.0007213114754098249,0.004693909552307745
Q47,276,Q4,-0.002950819672131129,0.0044231926436826404
Q47,276,Q5,0.000459016393442635,0.005684909325034298
Q47,276,Q6,-0.0013114754098360526,0.0065278021585546565
Q47,276,Q7,-0.0004590163934426085,0.002966080754858668
Q47,276,Q8,-0.0006557377049180268,0.0022237147485656625
Q47,276,Q9,-0.001377049180327853,0.004629341008451878
Q47,276,Q10,-0.0025573770491803148,0.0027618937296593855
Q47,276,Q11,-0.00013114754098359616,0.0025021356102739602
Q47,276,Q12,0.0009180327868852499,0.0013971984100106631
Q47,276,Q13,-6.557377049179244e-05,0.003484676788350537
Q47,276,Q14,-0.002032786885245895,0.0015710358755030686
Q47,276,Q15,-0.000459016393442624,0.0009411606619283535
Q47,276,Q16,6.557377049180357e-05,0.00013114754098360716
Q47,276,Q17,-0.0007868852459016395,0.0008190161309374996
Q47,276,Q18,-0.00013114754098359277,0.0028173837454348585
Q47,276,Q19,0.0,0.0
Q47,276,Q20,-6.557377049180247e-05,0.00013114754098360494
Q47,276,Q21,0.00013114754098360714,0.00026229508196721433
Q47,276,Q22,0.0,0.0
Q47,276,Q23,0.0,0.0
Q47,276,Q24,-0.0006557377049180235,0.0018430779439416675
Q47,276,Q25,0.0,0.0
Q47,276,Q26,0.00013114754098360714,0.00026229508196721433
Q47,276,Q27,-0.0013114754098360547,0.004858657981073505
Q47,276,Q28,-0.000983606557377038,0.0026392933504915464
Q47,276,Q29,0.0010491803278688695,0.005703033417746592
Q47,276,Q30,-0.001114754098360645,0.003016393442622957
Q47,276,Q31,-0.0005245901639344108,0.0043328337145394896
Q47,276,Q32,-0.0025573770491803148,0.0063216651829482145
Q47,276,Q33,-0.0007213114754098229,0.0048604276616934896
Q47,276,Q34,-0.0025573770491803135,0.004652504072148664
Q47,276,Q35,0.003278688524590183,0.003801016851459524
Q47,276,Q36,0.0007213114754098517,0.0033526093196496226
Q47,276,Q37,0.0007213114754098528,0.007282527417723547
Q47,276,Q38,-0.003147540983606543,0.0030728851183895066
Q47,276,Q39,-0.003278688524590152,0.006077524779401192
Q47,276,Q40,-0.0036065573770491647,0.005066608202513263
Q47,276,Q41,0.0014426229508196883,0.0027712192274249817
Q47,276,Q42,-0.0008524590163934299,0.0006424891128611496
Q47,276,Q43,-0.0032131147540983437,0.002754098360655727
Q47,276,Q44,-0.0005245901639344141,0.001503914090646517
Q47,276,Q45,-0.004327868852459003,0.004001612144889811
Q47,276,Q46,0.006622950819672147,0.008668148082789397
Q47,276,Q48,-0.0016393442622950627,0.0039398869208655245
Q47,276,Q49,0.0053114754098360795,0.013546023751391413
Q47,276,Q50,-0.004786885245901629,0.015476799048510017
Q47,276,Q51,-0.0002622950819672132,0.0003823575013013308
Q47,276,Q52,-0.0014426229508196573,0.0030798737221816104
Q47,276,Q53,-0.0009836065573770336,0.0030263556089742643
Q47,276,Q54,-0.001377049180327865,0.002128876469606291
Q47,276,Q55,0.0,0.0
Q47,276,Q56,-0.000852459016393431,0.0020274917814741404
Q47,276,Q57,-0.002557377049180321,0.006156256117525819
Q47,276,Q58,-0.0018360655737704825,0.0032497079851446253
Q47,276,Q59,-0.00045901639344260735,0.004181324214276675
Q47,276,Q60,0.0014426229508196883,0.003854934677166985
Q47,276,Q61,0.004262295081967229,0.006779833193737897
Q47,276,Q62,1.6479873021779667e-17,0.006296447939230328
Q47,276,Q63,-0.0007868852459016207,0.0064502728536959784
Q47,276,Q64,-0.0013114754098360534,0.009929609826343288
Q47,276,Q65,-0.002622950819672115,0.0037036121302145373
Q47,276,Q66,-0.0005901639344262189,0.004511742271939563
Q47,276,Q67,-0.0009836065573770327,0.0024447674599747367
Q47,276,Q68,-0.0005245901639344099,0.005947363852261383
Q47,276,Q69,-0.003016393442622941,0.004680148427555528
Q47,276,Q70,-0.0008524590163934311,0.0031828619277407474
Q47,276,Q71,0.0006557377049180434,0.005159118232857947
Q47,276,Q72,-0.0003934426229508069,0.002430656130209914
Q47,276,Q73,-0.0030819672131147395,0.005405761008662287
Q47,276,Q74,-0.0016393442622950646,0.004733136375768808
Q47,276,Q75,0.00013114754098362825,0.0033410463482903695
Q47,276,Q76,0.0010491803278688673,0.0023860203801521675
Q47,276,Q77,-0.0033442622950819547,0.004296958668958926
Q47,276,Q78,-0.0025573770491803096,0.003803278688524596
Q47,276,Q79,0.0005901639344262433,0.0037635002891230796
Q47,276,Q80,0.0012459016393442791,0.008840064182387109
Q47,276,Q81,-0.0012459016393442438,0.0046153873717423785
Q47,276,Q82,0.0017049180327868996,0.0047485552761263395
Q47,276,Q82_EU,-0.0019016393442622792,0.002950090984708715
Q47,276,Q83,-0.0006557377049180134,0.00556025361985576
Q47,276,Q84,0.002360655737704936,0.006416184856339698
Q47,276,Q85,-0.0008524590163934264,0.006236751612812944
Q47,276,Q86,-0.0019672131147540806,0.0035856322923258563
Q47,276,Q87,-0.0011147540983606396,0.004848026331612998
Q47,276,Q88,-0.0015081967213114544,0.006888679861859093
Q47,276,Q89,-0.002098360655737689,0.0036071534529770735
Q47,276,Q90,-0.0034098360655737485,0.008513485831930491
Q47,276,Q91,-0.00281967213114753,0.005077629031503204
Q47,276,Q92,-0.0031475409836065464,0.0052072345432372024
Q47,276,Q93,0.0007213114754098416,0.0011433177556828048
Q47,276,Q94,-0.00013114754098358694,0.007324328920888245
Q47,276,Q95,0.00045901639344263413,0.003148906807486682
Q47,276,Q96,7.806255641895632e-18,0.0016973349646616138
Q47,276,Q97,-0.0010491803278688528,0.0009814183309570983
Q47,276,Q98,-0.0002622950819672076,0.0002453545827392682
Q47,276,Q99,-0.0006557377049180313,0.0017224820375821262
Q47,276,Q100,0.0009836065573770557,0.0016458885767883492
Q47,276,Q101,0.00026229508196721867,0.0017886139930473216
Q47,276,Q102,0.0,0.0
