target_variable,country_1,country_2,spearman_rho,p_value
Q47,276,566,-0.0567,0.372132
Q47,276,392,-0.0876,0.167284
Q47,276,76,0.0138,0.828263
Q47,276,818,-0.0208,0.743959
Q47,566,392,0.0394,0.53483
Q47,566,76,0.0366,0.564254
Q47,566,818,0.0739,0.244055
Q47,392,76,0.1335,0.034839
Q47,392,818,0.2758,1e-05
Q47,76,818,0.095,0.134285
Q57,276,566,-0.0277,0.66349
Q57,276,392,0.1063,0.093567
Q57,276,76,-0.0657,0.301131
Q57,276,818,0.001,0.98797
Q57,566,392,-0.0191,0.764132
Q57,566,76,-0.0977,0.123369
Q57,566,818,0.0753,0.235244
Q57,392,76,-0.0233,0.71358
Q57,392,818,0.084,0.185614
Q57,76,818,0.0212,0.739183
Q199,276,566,-0.0237,0.709356
Q199,276,392,0.0866,0.172473
Q199,276,76,0.0088,0.890103
Q199,276,818,-0.0701,0.269622
Q199,566,392,0.133,0.035536
Q199,566,76,0.1249,0.04852
Q199,566,818,0.0755,0.234026
Q199,392,76,0.1488,0.018536
Q199,392,818,0.1138,0.072443
Q199,76,818,0.1042,0.100194
Q235,276,566,0.0497,0.434386
Q235,276,392,0.1519,0.0162
Q235,276,76,0.0231,0.71662
Q235,276,818,0.0149,0.814106
Q235,566,392,0.0155,0.807894
Q235,566,76,0.0448,0.481079
Q235,566,818,-0.0822,0.195051
Q235,392,76,0.0398,0.530709
Q235,392,818,0.0638,0.314932
Q235,76,818,0.1882,0.002817
Q164,276,566,0.0471,0.457991
Q164,276,392,0.0153,0.809292
Q164,276,76,-0.0182,0.774427
Q164,276,818,0.0798,0.208686
Q164,566,392,-0.0176,0.781458
Q164,566,76,0.0298,0.638949
Q164,566,818,0.0058,0.926825
Q164,392,76,-0.0393,0.536252
Q164,392,818,-0.0251,0.693274
Q164,76,818,0.0327,0.606569
